timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:40:21.267802+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2624.25M  free = 447.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""22.1"",""rss_kib"":""365408"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:41:21.461481+00:00,running,18,vm.swapusage: total = 3072.00M  used = 2613.31M  free = 458.69M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""13.0"",""rss_kib"":""364336"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:42:21.617671+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2683.06M  free = 388.94M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""15.7"",""rss_kib"":""144656"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:43:21.702462+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2651.06M  free = 420.94M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""12.9"",""rss_kib"":""144240"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:44:21.912350+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2608.69M  free = 463.31M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""18.4"",""rss_kib"":""144448"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:45:22.027820+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2685.69M  free = 386.31M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""19.7"",""rss_kib"":""145568"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:46:22.216177+00:00,running,22,vm.swapusage: total = 3072.00M  used = 2668.12M  free = 403.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""17.7"",""rss_kib"":""146064"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:47:22.412976+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2644.12M  free = 427.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""12.5"",""rss_kib"":""145520"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:48:22.561344+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2620.12M  free = 451.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""13.6"",""rss_kib"":""145136"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:49:22.659245+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2608.06M  free = 463.94M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""15.0"",""rss_kib"":""146448"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
