timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T09:01:01.412651+00:00,running,27,595.19
2026-07-19T09:02:01.438808+00:00,running,27,595.19
2026-07-19T09:03:01.461371+00:00,running,27,595.19
2026-07-19T09:04:01.488348+00:00,running,27,595.19
2026-07-19T09:05:01.518501+00:00,running,27,595.19
2026-07-19T09:06:01.546278+00:00,running,27,595.19
2026-07-19T09:07:01.570304+00:00,running,27,595.19
2026-07-19T09:08:01.594414+00:00,running,27,595.19
2026-07-19T09:09:01.623766+00:00,running,27,595.19
2026-07-19T09:10:01.650570+00:00,running,27,595.19
2026-07-19T09:11:01.684732+00:00,running,27,595.19
2026-07-19T09:12:01.713875+00:00,running,38,595.19
2026-07-19T09:13:01.659902+00:00,running,27,595.19
2026-07-19T09:14:01.679409+00:00,running,27,595.19
2026-07-19T09:15:01.703989+00:00,running,27,595.19
2026-07-19T09:16:01.721994+00:00,running,27,595.19
2026-07-19T09:17:01.739640+00:00,running,27,595.19
2026-07-19T09:18:01.765829+00:00,running,27,595.19
2026-07-19T09:19:01.785286+00:00,running,27,595.19
2026-07-19T09:20:01.811990+00:00,running,27,595.19
2026-07-19T09:21:01.834456+00:00,running,27,595.19
2026-07-19T09:22:01.852376+00:00,running,27,595.19
2026-07-19T09:23:01.870725+00:00,running,27,595.19
2026-07-19T09:24:01.892326+00:00,running,27,595.19
2026-07-19T09:25:01.919518+00:00,running,26,595.19
2026-07-19T09:26:01.951315+00:00,running,27,595.19
2026-07-19T09:27:01.979781+00:00,running,27,595.19
2026-07-19T09:28:01.999165+00:00,running,27,595.19
2026-07-19T09:29:02.014288+00:00,running,27,595.19
2026-07-19T09:30:02.199046+00:00,running,27,595.19
2026-07-19T09:31:02.232058+00:00,running,27,595.19
2026-07-19T09:32:02.270143+00:00,running,27,595.19
2026-07-19T09:33:02.296154+00:00,running,27,595.19
2026-07-19T09:34:02.322347+00:00,running,27,595.19
2026-07-19T09:35:02.344708+00:00,running,27,595.19
2026-07-19T09:36:02.376483+00:00,running,27,595.19
2026-07-19T09:37:02.411937+00:00,running,27,595.19
2026-07-19T09:38:02.447438+00:00,running,27,595.19
2026-07-19T09:39:02.469750+00:00,running,27,595.19
2026-07-19T09:40:02.500420+00:00,running,28,595.19
2026-07-19T09:41:02.524478+00:00,running,27,595.19
2026-07-19T09:42:02.556461+00:00,running,27,595.19
