timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:46:51.367253+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""20.5"",""rss_kib"":""286432"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:47:51.443194+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.3"",""rss_kib"":""290272"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:48:51.521006+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""15.0"",""rss_kib"":""293840"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:49:51.595469+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.6"",""rss_kib"":""296944"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:50:51.672086+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""14.2"",""rss_kib"":""299216"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:51:51.750548+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""14.3"",""rss_kib"":""300896"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:52:51.831134+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""14.6"",""rss_kib"":""280192"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:53:51.909609+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""19.9"",""rss_kib"":""275520"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:54:51.986319+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""16.0"",""rss_kib"":""279488"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:55:52.063148+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""14.5"",""rss_kib"":""283584"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:56:52.142181+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""17.7"",""rss_kib"":""283296"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:57:52.218944+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""17.8"",""rss_kib"":""286352"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:58:52.294676+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""19.9"",""rss_kib"":""289840"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:59:52.368300+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""21.0"",""rss_kib"":""293232"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
