timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T08:58:07.887618+00:00,running,19,2811.88
2026-07-19T08:59:07.983915+00:00,running,18,2780.12
2026-07-19T09:00:08.044804+00:00,running,16,2829.25
2026-07-19T09:01:08.115465+00:00,running,18,2968.12
2026-07-19T09:02:08.315105+00:00,running,17,3119.0
2026-07-19T09:03:08.372160+00:00,running,18,3122.44
2026-07-19T09:04:08.457873+00:00,running,17,3100.12
2026-07-19T09:05:08.505025+00:00,running,17,3062.31
2026-07-19T09:06:08.583959+00:00,running,17,3079.75
2026-07-19T09:07:08.740781+00:00,running,17,3119.69
2026-07-19T09:08:08.893560+00:00,running,17,3108.19
2026-07-19T09:09:09.013732+00:00,running,17,3076.69
2026-07-19T09:10:09.242079+00:00,running,18,3093.44
2026-07-19T09:11:09.409820+00:00,running,20,3107.56
2026-07-19T09:12:09.476916+00:00,running,18,2923.56
2026-07-19T09:13:09.671878+00:00,running,18,2900.44
2026-07-19T09:14:10.100044+00:00,running,17,2874.0
2026-07-19T09:15:10.437550+00:00,running,17,2852.38
2026-07-19T09:16:10.483842+00:00,running,18,2872.81
2026-07-19T09:17:10.596581+00:00,running,17,2915.56
2026-07-19T09:18:10.661418+00:00,running,17,2889.62
2026-07-19T09:19:10.727425+00:00,running,19,2847.62
2026-07-19T09:20:10.834428+00:00,running,17,2916.19
2026-07-19T09:21:10.964571+00:00,running,17,2865.5
2026-07-19T09:22:11.160238+00:00,running,16,2903.75
2026-07-19T09:23:11.214165+00:00,running,16,2899.62
2026-07-19T09:24:11.334930+00:00,running,18,2865.31
2026-07-19T09:25:11.470008+00:00,running,18,2910.88
2026-07-19T09:26:11.586498+00:00,running,17,2897.25
2026-07-19T09:27:11.625109+00:00,running,17,2883.06
2026-07-19T09:28:11.712591+00:00,running,17,2922.5
2026-07-19T09:29:11.808199+00:00,running,18,2874.5
2026-07-19T09:30:11.932458+00:00,running,19,3019.31
2026-07-19T09:31:12.008458+00:00,running,17,2889.75
2026-07-19T09:32:12.127651+00:00,running,18,2958.06
2026-07-19T09:33:12.383902+00:00,running,16,3098.69
2026-07-19T09:34:12.621548+00:00,running,16,3074.75
2026-07-19T09:35:12.808101+00:00,running,17,3068.56
2026-07-19T09:36:12.969003+00:00,running,18,3056.69
2026-07-19T09:37:13.026363+00:00,running,17,3077.56
2026-07-19T09:38:13.064261+00:00,running,25,3057.06
2026-07-19T09:39:13.237959+00:00,running,17,3046.56
2026-07-19T09:40:13.353830+00:00,running,18,3098.69
2026-07-19T09:41:13.392323+00:00,running,17,3042.69
2026-07-19T09:42:13.570776+00:00,running,17,3048.69
2026-07-19T09:43:13.755501+00:00,running,18,3041.06
2026-07-19T09:44:13.920516+00:00,running,18,3029.88
2026-07-19T09:45:14.066947+00:00,running,18,3052.25
2026-07-19T09:46:14.157373+00:00,running,17,3038.62
2026-07-19T09:47:14.296240+00:00,running,17,3066.94
2026-07-19T09:48:14.330427+00:00,running,16,3022.0
2026-07-19T09:49:14.501115+00:00,running,17,3017.31
2026-07-19T09:50:14.601970+00:00,running,18,3077.69
2026-07-19T09:51:14.655354+00:00,running,18,3047.75
2026-07-19T09:52:14.719358+00:00,running,17,3059.0
2026-07-19T09:53:14.821801+00:00,running,18,3041.31
2026-07-19T09:54:14.901168+00:00,running,18,3048.38
2026-07-19T09:55:14.956844+00:00,running,18,3064.88
2026-07-19T09:56:15.004754+00:00,running,18,3054.06
2026-07-19T09:57:15.188279+00:00,running,25,3075.38
2026-07-19T09:58:15.313219+00:00,running,17,3043.94
2026-07-19T09:59:15.389783+00:00,running,18,3048.75
2026-07-19T10:00:15.449250+00:00,running,18,3078.81
2026-07-19T10:01:15.639540+00:00,running,17,3045.06
2026-07-19T10:02:15.851352+00:00,running,19,3082.06
2026-07-19T10:03:15.987736+00:00,running,17,3078.44
2026-07-19T10:04:16.080516+00:00,running,18,3038.44
2026-07-19T10:05:16.195805+00:00,running,19,3052.0
2026-07-19T10:06:16.259315+00:00,running,17,3156.31
2026-07-19T10:07:16.473641+00:00,running,17,3152.0
2026-07-19T10:08:16.673842+00:00,running,17,3126.06
2026-07-19T10:09:16.739698+00:00,running,17,3104.38
2026-07-19T10:10:16.825741+00:00,running,18,3130.62
2026-07-19T10:11:17.006469+00:00,running,19,3115.25
2026-07-19T10:12:17.128503+00:00,running,17,3100.75
2026-07-19T10:13:17.224186+00:00,running,18,3109.56
2026-07-19T10:14:17.422305+00:00,running,18,3119.94
2026-07-19T10:15:17.543490+00:00,running,18,3091.31
2026-07-19T10:16:17.614198+00:00,running,24,3111.0
2026-07-19T10:17:17.685044+00:00,running,19,3079.0
2026-07-19T10:18:17.806670+00:00,running,19,3112.5
2026-07-19T10:19:17.931311+00:00,running,17,3129.19
2026-07-19T10:20:18.108597+00:00,running,17,3147.19
2026-07-19T10:21:18.233683+00:00,running,18,3121.44
